Month,Tweets,Impresseions,Likes,Retweets,Replies,Profile clicks, URL clicks, Hashtag clicks,Detail expands,Other,Media engagement,Media Views,Engagement rate,Ø tweets / day,Ø likes / day,Ø likes / tweet
March '23,528,663052,8415,83,938,4189,448,13,5789,3,9091,12542,4.3700000000000003e-02,17,271.5,15.9
April '23,815,728521,9635,121,1338,4640,696,18,5640,3,9536,12878,4.3400000000000001e-02,27.199999999999999,321.19999999999999,11.800000000000001
May '23,1082,1045361,13065,152,2017,5234,604,92,8314,8,13920,15803,4.1500000000000002e-02,34.899999999999999,421.5,12.1
June '23,934,1041354,13787,335,1859,5154,1129,408,9064,7,17393,18855,4.7199999999999999e-02,31.100000000000001,459.60000000000002,14.800000000000001
July '23,1036,983605,11709,112,1738,8114,663,45,7118,18,18601,24965,4.8899999999999999e-02,33.399999999999999,390.30000000000001,11.300000000000001
August '23,942,1797349,19006,598,2154,14174,2006,190,15199,30,23696,28635,4.2900000000000001e-02,30.399999999999999,633.5,20.199999999999999
September '23,643,1078505,10547,105,1324,9321,896,199,7404,14,16053,34070,4.2500000000000003e-02,21.399999999999999,351.60000000000002,16.399999999999999
October '23,655,715481,9628,65,952,10138,900,165,6364,19,15840,23989,6.1600000000000002e-02,21.100000000000001,310.60000000000002,14.699999999999999
November '23,530,960892,7422,139,1312,5262,931,17,5842,4,12993,28089,3.5299999999999998e-02,17.699999999999999,247.40000000000001,14
Dezember '23,639,1023669,10553,149,1255,6709,1531,17,7517,11,17090,23941,4.3799999999999999e-02,20.600000000000001,340.39999999999998,16.5
January '24,538,1184957,11210,139,1131,13332,1005,36,8361,13,20581,22955,4.7100000000000003e-02,17.399999999999999,361.60000000000002,20.800000000000001
Febuary '24,645,852920,10128,77,1097,9316,1341,68,9009,25,9135,11071,4.7100000000000003e-02,21.5,337.60000000000002,15.699999999999999
March '24,806,1220712,14997,168,1378,15022,787,103,9634,17,13024,17532,4.5199999999999997e-02,26,483.80000000000001,18.600000000000001
April '24,668,1216816,14522,228,1707,9673,794,514,10358,29,20360,98416,4.7800000000000002e-02,22.300000000000001,484.10000000000002,21.699999999999999
May '24,830,1249971,15844,139,1593,11762,1630,221,10045,16,19724,31459,4.8799999999999996e-02,27.699999999999999,511.10000000000002,19.100000000000001
June '24,,1248623,15877,120,1629,11499,,,,,26984,10778,4.4900000000000002e-02,,,
